date,ベーシック系,アメリカジコーデ,モードカジュアル,スポーツカジュアル,ストリート系,isPartial,アウトドアスタイル,エレガンスファッション,ガーリー,オフィスカジュアル,キャリアファッション,マニッシュ,デザイナーズファッション,トラッド,ノームコア,ナチュラル系,韓国系,量産型,地雷系
2005-01-01,0,0,0,0,23,False,0,0,15,0,0,0,0,37,0,0,9,12,0
2005-02-01,0,0,0,0,0,False,0,0,18,0,0,0,0,35,0,0,7,14,0
2005-03-01,0,0,0,0,18,False,0,0,15,0,0,0,0,47,0,0,7,14,0
2005-04-01,0,0,0,0,20,False,0,0,11,0,0,0,0,35,0,0,8,14,0
2005-05-01,0,0,0,0,26,False,0,0,18,0,0,12,0,37,0,0,0,12,0
2005-06-01,0,0,0,0,17,False,0,0,14,0,0,0,0,30,0,0,7,14,0
2005-07-01,0,0,0,0,0,False,6,0,10,0,0,0,0,28,0,0,5,12,0
2005-08-01,0,0,0,0,29,False,0,0,14,0,0,0,0,30,0,0,8,11,0
2005-09-01,0,0,0,0,17,False,0,0,17,0,0,9,0,35,0,0,4,9,0
2005-10-01,0,0,0,0,21,False,0,0,14,0,0,11,0,41,0,0,5,11,0
2005-11-01,0,0,0,0,25,False,0,0,11,0,0,9,0,32,0,0,7,14,0
2005-12-01,0,0,0,0,21,False,0,0,13,0,0,0,0,35,0,0,4,13,0
2006-01-01,0,0,0,0,23,False,0,0,13,0,0,0,0,34,0,0,4,11,0
2006-02-01,0,0,0,0,15,False,0,0,12,0,0,0,0,28,0,0,5,11,0
2006-03-01,0,0,0,0,16,False,0,0,12,0,0,0,0,27,0,0,6,16,0
2006-04-01,0,0,0,0,12,False,0,0,17,0,0,0,0,30,0,0,5,11,0
2006-05-01,0,0,0,0,14,False,0,0,15,0,0,0,0,31,0,0,7,12,0
2006-06-01,0,0,0,0,13,False,0,0,16,5,0,8,0,26,0,0,4,10,0
2006-07-01,0,0,0,0,14,False,0,0,16,0,0,6,0,29,0,0,5,11,0
2006-08-01,0,0,0,0,14,False,0,0,16,0,0,0,0,27,0,0,6,9,0
2006-09-01,0,0,0,0,17,False,0,0,16,0,0,10,0,32,0,0,6,9,0
2006-10-01,0,0,0,0,0,False,0,0,17,3,0,0,0,31,0,0,4,10,0
2006-11-01,0,0,0,0,14,False,0,0,12,0,0,7,0,35,0,0,7,10,0
2006-12-01,0,0,0,0,16,False,0,0,13,0,0,0,0,35,0,0,5,9,0
2007-01-01,0,0,0,0,12,False,0,0,14,0,0,0,0,31,0,0,4,12,0
2007-02-01,0,0,0,0,0,False,0,0,10,0,0,9,0,34,0,0,6,14,0
2007-03-01,0,0,0,0,17,False,0,0,12,0,0,8,0,31,0,0,6,19,0
2007-04-01,0,0,0,0,12,False,0,0,11,4,0,11,0,35,0,0,9,17,0
2007-05-01,0,0,0,0,8,False,0,0,13,4,0,8,0,30,0,0,5,18,0
2007-06-01,0,0,0,0,11,False,0,0,8,4,0,10,0,29,0,0,7,15,0
2007-07-01,0,0,0,0,16,False,0,0,9,0,0,8,0,29,0,0,4,13,0
2007-08-01,0,0,0,0,17,False,0,0,11,0,0,8,0,29,0,0,6,16,0
2007-09-01,0,0,0,0,15,False,0,0,10,0,0,10,0,36,0,7,4,17,0
2007-10-01,0,0,0,0,15,False,0,0,12,3,0,9,0,44,0,0,6,15,0
2007-11-01,0,0,0,7,16,False,0,0,13,4,0,5,0,42,0,5,5,14,0
2007-12-01,0,0,0,0,17,False,0,0,11,0,0,9,0,36,0,0,5,17,0
2008-01-01,0,0,0,0,12,False,0,0,16,2,0,10,0,37,0,9,5,15,0
2008-02-01,0,0,0,0,11,False,0,0,18,3,0,8,0,37,0,8,5,17,0
2008-03-01,0,0,0,0,15,False,0,0,12,5,0,10,0,38,0,9,6,15,0
2008-04-01,0,0,0,10,6,False,0,0,17,4,0,9,0,35,0,7,3,15,0
2008-05-01,0,0,0,0,11,False,0,0,14,3,0,9,0,42,0,4,5,14,2
2008-06-01,0,0,0,0,8,False,0,0,12,4,0,7,0,29,0,7,5,11,0
2008-07-01,0,0,0,0,11,False,0,0,13,5,0,7,0,33,0,4,4,14,0
2008-08-01,0,0,0,0,20,False,0,0,13,2,0,11,0,39,0,6,6,13,0
2008-09-01,0,0,0,0,14,False,0,0,12,2,0,14,0,45,0,6,5,11,0
2008-10-01,0,0,0,0,15,False,2,0,15,4,0,10,0,48,0,7,4,10,0
2008-11-01,0,0,0,0,19,False,2,0,12,2,0,10,0,49,0,5,5,11,0
2008-12-01,0,0,0,0,12,False,0,0,14,0,0,9,0,37,0,6,6,13,0
2009-01-01,0,0,0,0,20,False,0,0,13,2,0,12,0,37,3,9,9,13,0
2009-02-01,0,0,0,0,14,False,0,0,13,3,0,11,0,35,0,4,6,12,0
2009-03-01,0,0,0,0,20,False,0,0,14,0,0,10,0,41,0,5,5,13,0
2009-04-01,0,0,0,7,12,False,0,0,11,4,0,10,0,46,0,8,6,12,0
2009-05-01,0,0,0,9,10,False,0,0,13,3,0,10,0,44,0,10,4,11,0
2009-06-01,0,0,0,0,15,False,0,0,14,2,0,8,0,44,0,8,7,10,0
2009-07-01,0,0,0,5,11,False,0,0,12,4,0,8,0,37,0,8,5,12,0
2009-08-01,0,0,0,0,9,False,2,0,13,4,0,7,0,35,0,10,6,12,0
2009-09-01,0,0,0,5,14,False,0,0,11,3,0,10,0,42,0,11,3,12,0
2009-10-01,0,0,0,5,10,False,2,0,13,3,1,9,0,47,0,11,5,9,0
2009-11-01,5,0,0,0,13,False,2,0,14,3,0,9,0,52,0,11,6,12,0
2009-12-01,0,0,0,0,11,False,2,0,14,2,0,10,0,47,0,11,6,9,0
2010-01-01,0,0,0,0,13,False,1,0,16,3,0,6,0,46,0,9,6,9,0
2010-02-01,0,0,0,0,16,False,0,0,16,3,2,11,0,46,0,9,6,10,0
2010-03-01,0,0,0,0,10,False,2,0,17,3,0,12,0,43,0,9,6,9,0
2010-04-01,0,0,0,8,14,False,2,0,14,4,1,10,0,41,0,8,7,8,0
2010-05-01,0,0,0,0,10,False,0,0,14,4,1,10,0,39,0,9,4,11,0
2010-06-01,0,0,0,0,11,False,0,0,15,4,0,8,0,34,0,9,6,8,0
