vae_model_z,VAE_ModeMass_z,VAE_SportKorea_z,VEA_StreetNatural_z,VAE_OutdoorNormcore_z,VAE_EleganceTrad_z,VAE_GirlyDesigner_z,VAE_OfficeManush_z,merchandise
1.4715834,0.041222665,1.3667858,1.1481764,0.048654348,1.4380903,0.26790932,1.6796381,ウルトラストレッチエアリズムT_0
0.8322894,0.27895004,1.011469,0.5554221,1.5775124,0.8761766,0.49063227,0.58603346,ウルトラストレッチエアリズムT_2
0.84199077,1.1058917,0.2952121,1.115297,1.1844964,1.0744646,0.3385902,1.0097145,ウルトラストレッチエアリズムT_3
0.8462649,0.042775437,0.6229141,0.26386034,0.8854103,0.821131,0.26401958,1.4182342,ウルトラストレッチエアリズムT_4
0.60698044,1.1866106,1.288358,0.50400513,0.08373445,0.29112494,2.730239,0.5771868,ウルトラストレッチエアリズムT_1
0.4262664,0.7622045,0.49420443,0.8445348,0.88298523,0.57353145,1.0051314,0.05922402,エアリズムコットンT_0
0.30863577,0.24695183,0.5897629,1.3452414,1.1083697,0.5834786,0.35994303,0.617968,エアリズムコットンT_3
0.6532248,0.0072622257,0.053962745,0.5169868,0.54977214,1.359981,1.1617593,0.23056398,エアリズムコットンT_2
0.17499429,0.51023424,1.0963657,0.7200148,1.3809093,0.90095776,0.02273393,0.38512948,エアリズムコットンT_4
0.58522046,1.0456265,1.6033545,1.1538988,0.61747795,1.0401121,0.26279512,1.479759,エアリズムコットンT_1
0.042305198,0.043520242,0.54598266,2.5709713,0.64452505,2.4747357,1.0983168,0.27058825,エアリズムコットンオーバーサイズTシャツ5分袖_1
0.31610164,1.0541769,0.46574613,1.0914371,0.62060034,0.108401336,0.0069929217,0.5965904,エアリズムコットンオーバーサイズTシャツ5分袖_0
2.0085104,1.4952459,0.91096914,0.33948386,1.6113905,0.48876578,0.7965545,0.6538584,エアリズムシルクブレンドUVカットクルーネックT_1
0.64909714,2.001682,0.5047127,1.804415,0.76654744,1.1063582,0.15507941,0.88963586,エアリズムシルクブレンドUVカットクルーネックT_0
1.196549,2.0530176,2.1519434,0.39194047,0.20113172,0.9922276,1.5759302,0.2657432,エアリズムコットンオーバーサイズTシャツ5分袖_2
0.05663945,0.0399686,0.4533245,0.32228172,0.86579394,0.88445425,1.360216,0.88067275,エアリズムシームレスVネックロングT_1
0.96441203,0.033758953,0.19740455,0.01940216,2.1039915,0.17235051,0.6480135,1.3846793,エアリズムシームレスVネックロングT_3
1.7947476,0.08118376,0.41521117,1.4095416,0.26136953,0.4357198,0.3388716,0.43760693,エアリズムシームレスVネックロングT_0
0.65554744,0.05716142,0.9129063,0.15380087,1.0436037,0.2766664,0.61318326,0.036474388,エアリズムシルクブレンドUVカットクルーネックT_2
0.41244283,0.46557474,0.15317687,0.41365975,1.3910083,0.6905041,1.6628263,0.15163034,エアリズムシームレスVネックロングT_2
0.6718937,0.7566709,0.83961415,2.0120952,1.0340174,0.54151976,0.4451743,1.4540259,エアリズムシームレスVネックロングT_4
0.87601155,0.67231905,1.7529117,0.7710801,1.7823608,0.65631765,0.70693254,1.4871271,エアリズムドレープT_1
0.79068774,0.018729726,0.8495314,1.4821432,0.5405203,0.7782342,1.8264848,0.93083817,エアリズムドレープT_2
2.2708397,0.2958363,0.2771634,1.936981,0.06255994,0.61790615,0.157095,0.011655482,エアリズムドレープT_0
0.32527423,0.9101563,1.3355987,1.8279411,0.5536102,1.2569458,1.4724272,1.6708289,エアリズムドレープT_3
1.1411314,0.13444534,1.8415179,0.62669873,0.7385279,0.9559366,0.09843366,0.3867451,クルーネックT_0
0.385735,0.65593183,0.15070611,0.537558,0.48379844,0.18007717,0.5228324,0.44731158,クルーネックT_1
0.15070848,1.3398331,0.50379586,0.1267201,0.4116792,0.32891557,0.45608088,2.6329799,クルーネックT_2
0.5733877,1.1021572,1.4374698,0.70562613,0.70467585,2.128211,0.83623564,0.34148133,クルーネックT_3
